,smi,label
0,CN1CCC[C@@H](c2nc3ccccc3n2Cc2ccc(F)cc2)C1,0
1,ClCCCl,0
2,CC12NC(Cc3ccccc31)c1ccccc12,0
3,c1ccccc1,0
4,CCCCCCCC,0
5,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0
6,CN1CCCC1c1cccnc1,0
7,Cc1ccccc1,0
8,CNC(C)Cc1ccccc1,0
9,CCC(C)N(C)C(=O)c1cc2ccccc2c(-c2ccccc2Cl)n1,0
10,O=C(O)COc1ccc(Cl)cc1Cl,0
11,CN(C)CCC=C1c2ccccc2CCc2ccccc21,0
12,CCOC(=O)c1ccc(N)cc1,0
13,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,0
14,OC(CCN1CCCCC1)(c1ccccc1)C1CC2C=CC1C2,0
15,O=C(CCCN1CCC(O)(c2ccc(Br)cc2)CC1)c1ccc(F)cc1,0
16,CC(C)(C)NCC(O)COc1ccccc1C#N,0
17,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,0
18,CCCCOC(=O)c1ccc(N)cc1,0
19,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,0
20,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,0
21,Clc1cccc(Cl)c1N=C1NCCN1,0
22,CNCCCN1c2ccccc2CCc2ccccc21,0
23,O=C1CN=C(c2ccccc2)c2cc(Cl)ccc2N1,0
24,CC(N)Cc1ccccc1,0
25,CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,0
26,CN(C)CCOC(c1ccccc1)c1ccccc1,0
27,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,0
28,FC(F)OC(F)(F)C(F)Cl,0
29,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,0
30,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,0
31,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0
32,O=C(CCCN1CCC(O)(c2ccc(Cl)cc2)CC1)c1ccc(F)cc1,0
33,FC(F)(F)C(Cl)Br,0
34,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0
35,CN(C)CCCN1c2ccccc2CCc2ccccc21,0
36,FC(F)OC(Cl)C(F)(F)F,0
37,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
38,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O,0
39,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,0
40,COC(F)(F)C(Cl)Cl,0
41,COC(=O)C(c1ccccc1)C1CCCCN1,0
42,COCCc1ccc(OCC(O)CNC(C)C)cc1,0
43,CN1CCN2c3ccccc3Cc3ccccc3C2C1,0
44,CN1CCN2c3ncccc3Cc3ccccc3C2C1,0
45,O=C1Nc2ccc(Cl)cc2C(c2ccccc2)=NC1O,0
46,CC(C)=CCN1CCC2(C)c3cc(O)ccc3CC1C2C,0
47,CN(C)CCCN1c2ccccc2Sc2ccccc21,0
48,CC(C)c1cccc(C(C)C)c1O,0
49,COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,0
50,CCCN(CCC)CCc1cccc2c1CC(=O)N2,0
51,FCOC(C(F)(F)F)C(F)(F)F,0
52,O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,0
