SMILES,logBB
c1cc(F)ccc1Cn(c(c23)cccc2)c(n3)[C@@H]4CCCN(C)C4,0.43
CC1CCN(CC1)C(=O)c(c2)ccc3n(CC=C)c(c4c23)CCN(C4)CC5CC5,-0.13
ClCCCl,-0.14
c1cccc(c1C23C)C(N3)Cc4c2cccc4,1.11
CC(=O)C,-0.15000001
c1ccccc1,0.359999995
OCCCC,-0.02
CCCCCCCC,0.69
CC(C)(C)NC(C)C(=O)c1cc(Cl)ccc1,1.4
OCC,-0.16
CO,0.02
CN1CCCC1c2cccnc2,0.31
N#[N+][O-],0.029999999
CCCO,-0.15000001
Cc1ccccc1,0.365000005
NC(=O)N,-0.14
CNC(C)Cc1ccccc1,0.924999995
c1cccc(c12)cc(C(=O)N(C)C(C)CC)nc2-c3c(Cl)cccc3,0.47999999
O=C(O)COc1c(Cl)cc(Cl)cc1,0.15000001
c1ccccc1C2(C(=O)NC(=O)N2)c3ccccc3,-0.075000001
c1cccc(c12)nc3c(c2N)CCCC3,-0.12
CCCC(=O)Nc(c1)ccc(c1C(=O)C)OCC(O)CNC(C)C,-0.15000001
n1nc(C)n(c12)c3c(cc(Cl)cc3)C(=NC2)c4ccccc4,0.03
CN(C)CCC=C1c(cccc2)c2CCc(c13)cccc3,0.89499999
CC(C)CCC1(CC)C(=O)NC(=O)NC1=O,0.075
Cc1cc(=O)n(n1C)-c2ccccc2,-0.105
CCC1(CC)C(=O)NC(=O)NC1=O,-0.14
CCOC(=O)c1ccc(N)cc1,0.27000001
CC(C)NCC(O)COc(cc1)ccc1CCOCC2CC2,0.38999999
C12C=CC(C2)CC1C(O)(c3ccccc3)CCN4CCCCC4,0.85000002
c1cc(F)ccc1C(=O)CCCN(CC2)CCC2(O)c3ccc(Br)cc3,1.38
c1cccc(c1C#N)OCC(O)CNC(C)(C)C,0.38
C1CCCC12CC(=O)N(C(=O)C2)CCCCN3CCN(CC3)c4ncccn4,0.49000001
CCCCOC(=O)c1ccc(N)cc1,0.41999999
Cn1cnc(c12)n(C)c(=O)n(C)c2=O,-0.05
c1cccc(c12)N(C(=O)N)c3c(C=C2)cccc3,-0.09
CN(C)CCCN1c(cccc2)c2Sc(c13)ccc(Cl)c3,1.04
c1c(Cl)ccc(c12)N(C)C(=O)CC(=O)N2c3ccccc3,0.355000005
N1CCNC1=Nc2c(Cl)cccc2Cl,0.12
CNCCCN(c(c12)cccc1)c3c(CC2)cccc3,1.14
c1c(Cl)ccc(c12)NC(=O)CN=C2c3ccccc3,0.51999998
CC(N)Cc1ccccc1,0.93000001
c1c(Cl)ccc(c12)N(C)C(=O)CN=C2c3ccccc3,0.375
c1ccccc1C(OCCN(C)C)c2ccccc2,1.26
COc(c1)c(OC)cc(c12)CC(C2=O)CC3CCN(CC3)Cc4ccccc4,0.88999999
FC(Cl)C(F)(F)OC(F)F,0.22
CCOc(c1C(=O)N)cccc1,-0.048000001
CCOCC,0
c1ccccc1N(C(=O)CC)C2CCN(CC2)CCc3ccccc3,0.584999985
FC(F)(F)c(c1)ccc(c12)Sc3c(cccc3)N2CCCN4CCN(CC4)CCO,1.51
[O-][N+](=O)c(c1)ccc(c12)N(C)C(=O)CN=C2c3c(F)cccc3,0.07
